Organization legal name or 'doing business as' name,Group PAC ID,State,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Footnote,Reporting Mechanism,Reported on PC Live Site
MIDMICHIGAN MEDICAL CENTER GLADWIN,0143262915,MI,Y,PQRS_GRP_7_2,Coronary Artery Disease (CAD): Beta-Blocker Therapy  Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,100,,REG,Y
PODIATRY ASSOCIATES OF INDIANA PC,0143295253,IN,Y,PQRS_GRP_126_1,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy  Neurological Evaluation",N,100,,REG,Y
PODIATRY ASSOCIATES OF INDIANA PC,0143295253,IN,Y,PQRS_GRP_127_1,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention  Evaluation of Footwear",N,100,,REG,Y
ALLERGY AND ASTHMA CARE OF FLORIDA INC,0143313296,FL,,PQRS_GRP_52_1,Chronic Obstructive Pulmonary Disease (COPD): Inhaled Bronchodilator Therapy,N,100,,REG,Y
MAKOVICKA HARMS GROUP PC,0143374124,NE,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
MAKOVICKA HARMS GROUP PC,0143374124,NE,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,99,,REG,Y
MAKOVICKA HARMS GROUP PC,0143374124,NE,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,92,,REG,Y
MAKOVICKA HARMS GROUP PC,0143374124,NE,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
"UMG HOSPITALISTS, LLC.",0143455451,GA,Y,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N,100,,REG,Y
"UMG HOSPITALISTS, LLC.",0143455451,GA,Y,PQRS_GRP_33_1,Stroke and Stroke Rehabilitation: Anticoagulant Therapy Prescribed for Atrial Fibrillation (AF) at Discharge,N,100,,REG,Y
SCRANTON QUINCY CLINIC COMPANY LLC,0143487389,PA,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,0,,REG,N
SCRANTON QUINCY CLINIC COMPANY LLC,0143487389,PA,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,0,,REG,Y
SCRANTON QUINCY CLINIC COMPANY LLC,0143487389,PA,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,0,,REG,Y
COUNTY OF SWEETWATER,0244124550,WY,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,,REG,Y
COUNTY OF SWEETWATER,0244124550,WY,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,88,,REG,Y
ORTHOPAEDIC AND SPINE CENTER OF THE ROCKIES PC,0244126365,CO,Y,PQRS_GRP_126_1,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy  Neurological Evaluation",N,100,,REG,Y
ORTHOPAEDIC AND SPINE CENTER OF THE ROCKIES PC,0244126365,CO,Y,PQRS_GRP_127_1,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention  Evaluation of Footwear",N,100,,REG,Y
ORTHOPAEDIC AND SPINE CENTER OF THE ROCKIES PC,0244126365,CO,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
ORTHOPAEDIC AND SPINE CENTER OF THE ROCKIES PC,0244126365,CO,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,100,,REG,Y
ORTHOPAEDIC AND SPINE CENTER OF THE ROCKIES PC,0244126365,CO,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,100,,REG,Y
ORTHOPAEDIC AND SPINE CENTER OF THE ROCKIES PC,0244126365,CO,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,,REG,Y
ORTHOPAEDIC AND SPINE CENTER OF THE ROCKIES PC,0244126365,CO,Y,PQRS_GRP_24_1,"Osteoporosis: Communication with the Physician Managing On-going Care Post-Fracture of Hip, Spine or Distal Radius for Men and Women Aged 50 Years and Older",N,92,,REG,Y
ORTHOPAEDIC AND SPINE CENTER OF THE ROCKIES PC,0244126365,CO,Y,PQRS_GRP_46_1,Medication Reconciliation,N,100,,REG,N
ORTHOPAEDIC AND SPINE CENTER OF THE ROCKIES PC,0244126365,CO,Y,PQRS_GRP_46_2,Medication Reconciliation,N,100,,REG,Y
"BAYCARE AURORA, LLC",0244130557,WI,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,100,,REG,Y
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,90,,REG,Y
SOUTH JERSEY HEALTH SYSTEM EMERGENCY PHYSICIAN SERVICES P A,0244134302,NJ,Y,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N,15,,REG,N
SOUTH JERSEY HEALTH SYSTEM EMERGENCY PHYSICIAN SERVICES P A,0244134302,NJ,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,100,,REG,Y
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,73,,REG,Y
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,Y,PQRS_GRP_46_1,Medication Reconciliation,N,83,,REG,N
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,Y,PQRS_GRP_46_2,Medication Reconciliation,N,92,,REG,Y
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,100,,REG,Y
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,Y,PQRS_GRP_122_1,Adult Kidney Disease: Blood Pressure Management,N,100,,REG,N
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,Y,PQRS_GRP_143_1,Oncology: Medical and Radiation  Pain Intensity Quantified,N,100,,REG,Y
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,100,,REG,Y
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,99,,REG,Y
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,Y,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N,100,,REG,Y
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,Y,PQRS_GRP_7_1,Coronary Artery Disease (CAD): Beta-Blocker Therapy  Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,100,,REG,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,69,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,85,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,64,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,65,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,68,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,80,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,76,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,97,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,52,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,94,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,97,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,52,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,80,,WI,Y
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,97,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,42,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,40,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,51,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,51,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,30,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,58,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,99,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,97,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,0,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,96,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,98,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,91,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,3,,WI,Y
WEST TEXAS MEDICAL ASSOCIATES,0244143113,TX,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,,1,WI,Y
MIDWEST ORTHOPAEDICS AT RUSH LLC,0244143196,IL,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
MIDWEST ORTHOPAEDICS AT RUSH LLC,0244143196,IL,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,97,,REG,Y
MIDWEST ORTHOPAEDICS AT RUSH LLC,0244143196,IL,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,,REG,Y
MIDWEST ORTHOPAEDICS AT RUSH LLC,0244143196,IL,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,,REG,Y
MIDWEST ORTHOPAEDICS AT RUSH LLC,0244143196,IL,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,99,,REG,Y
EAST CAROLINA UNIVERSITY,0244143246,NC,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,91,,REG,Y
EAST CAROLINA UNIVERSITY,0244143246,NC,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,0,,REG,N
EAST CAROLINA UNIVERSITY,0244143246,NC,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,0,,REG,Y
EAST CAROLINA UNIVERSITY,0244143246,NC,Y,PQRS_GRP_46_1,Medication Reconciliation,N,66,,REG,N
EAST CAROLINA UNIVERSITY,0244143246,NC,Y,PQRS_GRP_46_2,Medication Reconciliation,N,72,,REG,Y
EAST CAROLINA UNIVERSITY,0244143246,NC,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,90,,REG,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,99,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,66,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,68,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,67,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,85,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,91,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,45,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,71,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,31,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,98,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,92,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,53,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,93,,WI,Y
SANFORD CLINIC,0244143824,SD,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,,1,WI,Y
COVENANT MEDICAL CENTER INC,0244148732,IA,Y,PQRS_GRP_122_1,Adult Kidney Disease: Blood Pressure Management,N,67,,REG,N
COVENANT MEDICAL CENTER INC,0244148732,IA,Y,PQRS_GRP_122_3,Adult Kidney Disease: Blood Pressure Management,N,67,,REG,Y
NORTH OKALOOSA CLINIC CORP,0244205565,FL,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,72,,REG,Y
NORTH OKALOOSA CLINIC CORP,0244205565,FL,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,24,,REG,Y
MEDICAL GROUP OF MACOMB LLC,5496762668,IL,Y,PQRS_GRP_47_1,Care Plan,N,2,,REG,Y
NORTH OKALOOSA CLINIC CORP,0244205565,FL,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,46,,REG,Y
NORTHWEST PHYSICIANS LLC,0244213213,AR,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,75,,REG,Y
NORTHWEST PHYSICIANS LLC,0244213213,AR,Y,PQRS_GRP_334_1,Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),Y,1,,REG,N
NORTHWEST PHYSICIANS LLC,0244213213,AR,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,83,,REG,Y
JAY CARE MEDICAL CENTER INC,0244228179,FL,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,79,,REG,Y
HANDS ON PHYSICAL THERAPY INC,0244230761,MI,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
HANDS ON PHYSICAL THERAPY INC,0244230761,MI,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
"HERTEL AND BROWN PHYSICAL THERAPY, PC",0244236065,PA,,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,92,,REG,Y
"HERTEL AND BROWN PHYSICAL THERAPY, PC",0244236065,PA,,PQRS_GRP_154_1,Falls: Risk Assessment,N,78,,REG,Y
"HERTEL AND BROWN PHYSICAL THERAPY, PC",0244236065,PA,,PQRS_GRP_155_1,Falls: Plan of Care,N,91,,REG,Y
"HERTEL AND BROWN PHYSICAL THERAPY, PC",0244236065,PA,,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
RADIOLOGY MEDICAL GROUP OF WMMC,0244247864,CA,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,47,,REG,Y
RADIOLOGY MEDICAL GROUP OF WMMC,0244247864,CA,Y,PQRS_GRP_146_1,Radiology: Inappropriate Use of Probably Benign Assessment Category in Mammography Screening*,Y,1,,REG,Y
RADIOLOGY MEDICAL GROUP OF WMMC,0244247864,CA,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,100,,REG,Y
RADIOLOGY MEDICAL GROUP OF WMMC,0244247864,CA,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,100,,REG,Y
RADIOLOGY MEDICAL GROUP OF WMMC,0244247864,CA,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,,REG,Y
RADIOLOGY MEDICAL GROUP OF WMMC,0244247864,CA,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,100,,REG,Y
HOWARD S GOLDBERG MD INC,0244292688,MA,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,100,,REG,Y
HOWARD S GOLDBERG MD INC,0244292688,MA,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,98,,REG,Y
HOWARD S GOLDBERG MD INC,0244292688,MA,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
HOWARD S GOLDBERG MD INC,0244292688,MA,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,,REG,Y
OHIO STATE UNIVERSITY,0244296663,OH,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
"ROBBINS DERMATOLOGY, P.C.",0244301844,WY,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,100,,REG,Y
"ROBBINS DERMATOLOGY, P.C.",0244301844,WY,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
"ROBBINS DERMATOLOGY, P.C.",0244301844,WY,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,,REG,Y
INPATIENT CONSULTANTS OF PENNSYLVANIA PC,0244305597,PA,Y,PQRS_GRP_326_1,Atrial Fibrillation and Atrial Flutter: Chronic Anticoagulation Therapy,N,97,,REG,Y
INPATIENT CONSULTANTS OF PENNSYLVANIA PC,0244305597,PA,Y,PQRS_GRP_46_2,Medication Reconciliation,N,92,,REG,Y
INPATIENT CONSULTANTS OF PENNSYLVANIA PC,0244305597,PA,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,87,,REG,Y
"ARTHRITIS ASSOCIATES, P.A.",0244339083,TX,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,45,,REG,Y
"ARTHRITIS ASSOCIATES, P.A.",0244339083,TX,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,98,,REG,Y
"ARTHRITIS ASSOCIATES, P.A.",0244339083,TX,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,56,,REG,Y
ADVANCED SURGICAL ASSOCIATES,0244393023,MO,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,18,,REG,Y
ADVANCED SURGICAL ASSOCIATES,0244393023,MO,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,1,,REG,N
ADVANCED SURGICAL ASSOCIATES,0244393023,MO,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,0,,REG,Y
ADVANCED SURGICAL ASSOCIATES,0244393023,MO,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,19,,REG,Y
MIRAMAR LYNN MEDICAL GROUP INC,0244453488,CA,Y,PQRS_GRP_140_1,Age-Related Macular Degeneration (AMD): Counseling on Antioxidant Supplement,N,100,,REG,Y
MIRAMAR LYNN MEDICAL GROUP INC,0244453488,CA,Y,PQRS_GRP_14_1,Age-Related Macular Degeneration (AMD): Dilated Macular Examination,N,19,,REG,Y
MSKCC SURGERY GROUP,0345131405,NY,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,79,,REG,Y
MSKCC SURGERY GROUP,0345131405,NY,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,80,,REG,Y
MSKCC SURGERY GROUP,0345131405,NY,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,100,,REG,Y
MSKCC SURGERY GROUP,0345131405,NY,Y,PQRS_GRP_47_1,Care Plan,N,80,,REG,Y
MSKCC SURGERY GROUP,0345131405,NY,Y,PQRS_GRP_71_1,Breast Cancer: Hormonal Therapy for Stage IC -IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer,N,97,,REG,Y
MSKCC SURGERY GROUP,0345131405,NY,Y,PQRS_GRP_72_1,Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients,N,100,,REG,Y
PRATT PATHOLOGY ASSOCIATES INC,0345131637,MA,Y,PQRS_GRP_395_1,Lung Cancer Reporting (Biopsy/Cytology Specimens),N,100,,REG,Y
NEUROLOGICAL SURGERY PC,0345131785,NY,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,100,,REG,Y
NEUROLOGICAL SURGERY PC,0345131785,NY,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,,REG,Y
NEUROLOGICAL SURGERY PC,0345131785,NY,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,,REG,Y
JEWISH COMMUNITY SERVICES INC,0345141362,MD,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,,REG,Y
JEWISH COMMUNITY SERVICES INC,0345141362,MD,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
JEWISH COMMUNITY SERVICES INC,0345141362,MD,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,99,,REG,Y
STONY BROOK SURGICAL ASSOCIATES UNIVERSITY FACULTY PRACTICE CORPORATI,0345143749,NY,Y,PQRS_GRP_44_1,Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,N,100,,REG,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,68,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,78,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,84,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,78,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,54,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,90,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,77,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,81,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,18,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,100,,WI,Y
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,95,,WI,Y
